Continent,Non-State,Country,Country Code,Legal (all genders),Age Of consent,Gender,Penalising text,Promotion/Morality,Ma.x Sentences (M)onths and (Y)ears,Death Sentence,Arrests in past 3 years?,Ban on NGOs,NRHI - SO-inclusive? ,Constitution Protection,Employment Protection,Other Protection,Hate Crime Protection,Incitemenrt Protection,CT Ban Protection,Marriage Recognition,Civil recognition,Joint adoption,2nd parent adoption,GDP (current US$) - 2007,GDP (current US$) - 2008,GDP (current US$) - 2009,GDP (current US$) - 2010,GDP (current US$) - 2011,GDP (current US$) - 2012,GDP (current US$) - 2013,GDP (current US$) - 2014,GDP (current US$) - 2015,GDP (current US$) - 2016,GDP (current US$) - 2017,Research and development expenditure (% of GDP) - 2007,Research and development expenditure (% of GDP) - 2008,Research and development expenditure (% of GDP) - 2009,Research and development expenditure (% of GDP) - 2010,Research and development expenditure (% of GDP) - 2011,Research and development expenditure (% of GDP) - 2012,Research and development expenditure (% of GDP) - 2013,Research and development expenditure (% of GDP) - 2014,Research and development expenditure (% of GDP) - 2015,Research and development expenditure (% of GDP) - 2016,Research and development expenditure (% of GDP) - 2017,GDP per capita (current US$) - 2007,GDP per capita (current US$) - 2008,GDP per capita (current US$) - 2009,GDP per capita (current US$) - 2010,GDP per capita (current US$) - 2011,GDP per capita (current US$) - 2012,GDP per capita (current US$) - 2013,GDP per capita (current US$) - 2014,GDP per capita (current US$) - 2015,GDP per capita (current US$) - 2016,GDP per capita (current US$) - 2017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF,,Algeria,DZA,Ilegal,Unknown,Both,Sexual Act,Morality Code,3 - 7  yrs,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,1.35E+11,1.71E+11,1.37E+11,1.61E+11,2.00E+11,2.09E+11,2.10E+11,2.14E+11,1.66E+11,1.60E+11,1.67E+11,,,,,,,,,,0.53347,,3950.561607,4923.540099,3883.378143,4480.724539,5455.741338,5592.326098,5499.581487,5493.02559,4177.867517,3946.421445,4044.298372
AF,,Angola,AGO,Ilegal,Unknown,Both,Against nature,Unknown,3 - 7  yrs,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,65266452081,88538611205,70307163678,83799496611,1.12E+11,1.28E+11,1.37E+11,1.46E+11,1.16E+11,1.01E+11,1.22E+11,,,,,,,,,,,,3121.995637,4080.94141,3122.780766,3587.883798,4615.468028,5100.095808,5254.882338,5408.410496,4166.979684,3506.072885,4095.812942
AF,,Benin,BEN,Legal,Unequal,NA,NA,NA,NA,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,5969535132,7132787397,7097198712,6977040762,7824320327,8152088222,9159958826,9720362615,8294490789,8578984066,9269594835,,,,,,,,,,,,706.0533749,820.1508783,793.4522526,758.4350829,827.0226108,837.8949968,915.5758164,944.931653,784.2784072,789.0849152,829.4788028
AF,,Botswana,BWA,Ilegal,Unknown,Both,Against nature,Unknown,3 - 7  yrs,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,10939053365,10945070442,10267133178,12786654366,15351972230,16067155187,14901750765,16250750259,14420604206,15646316818,17405538618,,,,,0.25411,0.53728,,,,,,5832.733942,5713.534983,5255.768461,6434.815657,7617.325094,7877.79035,7224.965172,7780.638385,6799.875234,7243.852997,7893.210108
AF,,Burkina Faso,BFA,Legal,Equal,NA,NA,NA,NA,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,6771277871,8369637065,8369175126,8979966766,10724063458,11166063467,11947176342,12377391463,10419303761,10867024152,12330338343,0.18634,0.25,,,,,0.22183,0.22183,,0.6738,,475.1100122,569.7613172,552.7455886,575.4464527,666.8401198,673.8215984,699.7794056,703.8200556,575.3144542,582.7954443,642.4298387
AF,,Burundi,BDI,Ilegal,Unknown,Both,Sexual Act,Unknown,1 mo - 2 yrs,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,1356199365,1611835902,1781455092,2032135247,2235820868,2333308099,2451625333,2705783272,3104394858,2959640987,3172292379,0.15419,0.14434,0.13755,0.12126,,,,,,,,172.4958599,198.3529006,212.1368804,234.2356469,249.5779794,252.3589799,256.9760028,274.8579479,305.5497728,282.1931304,292.9976307
AF,,Cameroon,CMR,Ilegal,Unknown,Both,Sexual Act,Unknown,3 - 7  yrs,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,22365265026,26409781215,26017925552,26143818510,29337006833,29104437355,32348149947,34942948737,30916218544,32621535419,34922782311,,,,,,,,,,,,1194.06985,1371.746708,1314.706015,1285.261726,1403.255638,1354.623087,1465.222327,1540.568182,1326.969277,1363.403851,1421.587492
AF,,Cape Verde,CPV,Legal,Equal,NA,NA,NA,NA,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,1513933983,1789333749,1711817182,1664310770,1865915544,1741809809,1850470042,1859898513,1596800287,1663008687,1769787215,,,,0.7264,,,,,,,,3186.826892,3721.250949,3517.401245,3378.25486,3740.389099,3447.524041,3615.979041,3588.674054,3043.013984,3130.982229,3292.645755
AF,,Central African Republic,CAF,Legal,Equal,NA,NA,NA,NA,No,No,Yes,None,No,No,No,No,No,No,No,No,No,No,1697565949,1985240986,2059094048,2140503193,2434792413,2510270268,1691063477,1892292912,1695143880,1823779165,2067230996,,,,,,,,,,,,404.373965,464.5614221,474.7054087,487.9453833,551.0280576,565.8330584,380.1900917,423.8841246,377.2712538,401.9182384,449.7864235
AF,,Chad,TCD,Legal,Unequal,NA,NA,NA,NA,No,No,Yes,Unclear,No,No,No,No,No,No,No,No,No,No,8638711443,10351932604,9253484108,10657705536,12156380425,12368071039,12949854263,13922223234,10945989472,10090922857,9975692095,,,,,,,,,0.32217,,,798.5480013,925.6360843,800.4642249,891.6988174,983.4472327,967.408126,979.5339592,1018.930956,775.7075235,692.9785958,664.3033157
AF,,Comoros,COM,Ilegal,Unknown,Both,Against nature,Unknown,3 - 7  yrs,No,No,Yes,None,No,No,No,No,No,No,No,No,No,No,794621676.5,911967428.7,901711442.3,907093130.3,1021746833,1015901205,1115906342,1148058015,965640593,1012147324,1074778461,,,,,,,,,,,,1238.461514,1387.594626,1339.337191,1315.214806,1446.068018,1403.428519,1504.920859,1511.816083,1242.102885,1272.193943,1320.541867
AF,,Congo,COG,Legal,Unequal,NA,NA,NA,NA,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,8394688284,11859013281,9593537551,12007880439,14425607180,13677930124,14085851348,14177437982,8553154580,9035848071,8701334800,,,,,,,,,,,,2165.745759,2956.264407,2314.266025,2809.694957,3282.393455,3032.667329,3047.064589,2992.931349,1761.32357,1814.063418,1702.571349
AF,,Cote d Ivoire,CIV,Legal,Unequal,NA,NA,NA,NA,No,No,Yes,None,No,No,No,No,No,No,No,No,No,No,20343635320,24224903100,24277493862,24884505035,25381616734,26790579775,31264187110,35316491207,33131114322,35296977344,38053606751,,,,,,,,,0.928,,,1061.154026,1235.613366,1210.295426,1211.930338,1207.001434,1243.344597,1415.469385,1559.386504,1426.457864,1481.652231,1557.182814
AF,,Democratic Republic of Congo,COD,Legal,Equal,NA,NA,NA,NA,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,16737071816,19788515874,18648373312,21565720044,25839749199,29306235826,32679745298,35909040266,37917704900,37134799975,38019265626,0.8253,0.7822,,,,,,,,,,286.3304921,327.5637218,298.6196821,334.0215726,387.0824654,424.6003861,457.9637283,486.7870819,497.3169608,471.3188404,467.0742375
AF,,Djibouti,DJI,Legal,Equal,NA,NA,NA,NA,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,,,,,,2042817163,2216200810,2445484583,2618587757,2766868072,,,,,,,,,,,,,,,,,,2312.728803,2466.018332,2675.605374,2818.376856,2930.703172
AF,,Egypt,EGY,Legal,Equal,Both,Unknown,Penal Code / Morality Code,3 - 7  yrs,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,1.30E+11,1.63E+11,1.89E+11,2.19E+11,2.36E+11,2.79E+11,2.89E+11,3.06E+11,3.33E+11,3.33E+11,2.35E+11,0.2724,0.43312,0.43345,0.53154,0.5899,0.63895,0.63649,0.63649,0.7848,0.6595,,1667.843721,2044.527855,2329.23948,2644.817039,2791.954962,3232.648892,3264.378787,3378.831358,3598.970948,3525.020165,2440.510173
AF,,Equatorial Guinea,GNQ,Legal,Equal,NA,NA,NA,NA,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,13071718759,19749893536,15027795173,16298542028,21329395901,22389626329,21942597765,21736500713,13180195435,11233177619,12289913729,,,,,,,,,,,,15908.39183,22942.58345,16667.93682,17272.00977,21613.54923,21712.39502,20384.92453,19368.23091,11278.92894,9244.051798,9738.434224
